SL.NO   Token           Lexeme              Line_no
411     *               Arithmetic_op       47    
412     out             Identifier          47    
413     =               Assignment_op       47    
414     fopen           Keyword             47    
415     (               Open_bracket        47    
416     argv            Keyword             47    
417     [               Open_bracket        47    
418     2               Number              47    
419     ]               Close_bracket       47    
420     ,               Special_op          47    
421     "               Special_op          47    
422     w               Identifier          47    
423     "               Special_op          47    
424     )               Close_bracket       47    
425     ;               Semicolon           47    
426     fprintf         Keyword             49    
427     (               Open_bracket        49    
428     out             Identifier          49    
429     ,               Special_op          49    
430     "               Special_op          49    
431     %               Special_op          49    
432     -               Arithmetic_op       49    
433     8               Number              49    
434     s               Identifier          49    
435     %               Special_op          49    
436     -               Arithmetic_op       49    
437     1               Number              49    
438     6               Number              49    
439     s               Identifier          49    
440     %               Special_op          49    
441     -               Arithmetic_op       49    
442     2               Number              49    
443     0               Number              49    
444     s               Identifier          49    
445     %               Special_op          49    
446     -               Arithmetic_op       49    
447     6               Number              49    
448     s               Identifier          49    
449     \               Special_op          49    
450     n               Identifier          49    
451     "               Special_op          49    
452     ,               Special_op          49    
453     "               Special_op          49    
454     SL              Identifier          49    
455     .               Special_op          49    
456     NO              Identifier          49    
457     "               Special_op          49    
458     ,               Special_op          49    
459     "               Special_op          49    
460     Token           Identifier          49    
461     "               Special_op          49    
462     ,               Special_op          49    
463     "               Special_op          49    
464     Lexeme          Identifier          49    
465     "               Special_op          49    
466     ,               Special_op          49    
467     "               Special_op          49    
468     Line            Identifier          49    
469     _               Special_op          49    
470     no              Identifier          49    
471     "               Special_op          49    
472     )               Close_bracket       49    
473     ;               Semicolon           49    
474     char            Keyword             50    
475     lexemes         Identifier          50    
476     [               Open_bracket        50    
477     ROW             Identifier          50    
478     ]               Close_bracket       50    
479     ;               Semicolon           50    
480     int             Keyword             51    
481     next            Identifier          51    
482     ,               Special_op          51    
483     ch              Identifier          51    
484     ;               Semicolon           51    
485     int             Keyword             52    
486     sl              Identifier          52    
487     _               Special_op          52    
488     number          Identifier          52    
489     =               Assignment_op       52    
490     1               Number              52    
491     ,               Special_op          52    
492     line            Identifier          52    
493     _               Special_op          52    
494     number          Identifier          52    
495     =               Assignment_op       52    
496     1               Number              52    
497     ;               Semicolon           52    
498     while           Keyword             53    
499     (               Open_bracket        53    
500     (               Open_bracket        53    
501     ch              Identifier          53    
502     =               Assignment_op       53    
503     fgetc           Keyword             53    
504     (               Open_bracket        53    
505     in              Identifier          53    
506     )               Close_bracket       53    
507     )               Close_bracket       53    
508     !=              Relational_op       53    
509     EOF             Identifier          53    
510     )               Close_bracket       53    
511     {               Open_bracket        54    
512     int             Keyword             55    
513     i               Identifier          55    
514     =               Assignment_op       55    
515     0               Number              55    
516     ;               Semicolon           55    
517     bool            Identifier          56    
518     flag            Identifier          56    
519     =               Assignment_op       56    
520     false           Identifier          56    
521     ,               Special_op          56    
522     increment       Identifier          56    
523     =               Assignment_op       56    
524     true            Identifier          56    
525     ;               Semicolon           56    
526     memset          Identifier          57    
527     (               Open_bracket        57    
528     lexemes         Identifier          57    
529     ,               Special_op          57    
530     0               Number              57    
531     ,               Special_op          57    
532     sizeof          Identifier          57    
533     (               Open_bracket        57    
534     lexemes         Identifier          57    
535     )               Close_bracket       57    
536     )               Close_bracket       57    
537     ;               Semicolon           57    
538     if              Keyword             58    
539     (               Open_bracket        58    
540     ch              Identifier          58    
541     ==              Relational_op       58    
542     '               Special_op          58    
543     '               Special_op          58    
544     |               Special_op          58    
545     |               Special_op          58    
546     ch              Identifier          58    
547     ==              Relational_op       58    
548     '               Special_op          58    
549     \               Special_op          58    
550     t               Identifier          58    
551     '               Special_op          58    
552     )               Close_bracket       58    
553     increment       Identifier          59    
554     =               Assignment_op       59    
555     false           Identifier          59    
556     ;               Semicolon           59    
557     else            Keyword             60    
558     if              Keyword             60    
559     (               Open_bracket        60    
560     ch              Identifier          60    
561     ==              Relational_op       60    
562     '               Special_op          60    
563     \               Special_op          60    
564     n               Identifier          60    
565     '               Special_op          60    
566     )               Close_bracket       60    
567     {               Open_bracket        61    
568     line            Identifier          62    
569     _               Special_op          62    
570     number          Identifier          62    
571     +               Arithmetic_op       62    
572     +               Arithmetic_op       62    
573     ;               Semicolon           62    
574     increment       Identifier          63    
575     =               Assignment_op       63    
576     false           Identifier          63    
577     ;               Semicolon           63    
578     }               Close_bracket       64    
579     else            Keyword             65    
580     if              Keyword             65    
581     (               Open_bracket        65    
582     ch              Identifier          65    
583     ==              Relational_op       65    
584     '               Special_op          65    
585     (               Open_bracket        65    
586     '               Special_op          65    
587     |               Special_op          65    
588     |               Special_op          65    
589     ch              Identifier          65    
590     ==              Relational_op       65    
591     '               Special_op          65    
592     {               Open_bracket        65    
593     '               Special_op          65    
594     |               Special_op          65    
595     |               Special_op          65    
596     ch              Identifier          65    
597     ==              Relational_op       65    
598     '               Special_op          65    
599     [               Open_bracket        65    
600     '               Special_op          65    
601     )               Close_bracket       65    
602     {               Open_bracket        66    
603     display         Identifier          67    
604     _               Special_op          67    
605     lexemes         Identifier          67    
606     (               Open_bracket        67    
607     sl              Identifier          67    
608     _               Special_op          67    
609     number          Identifier          67    
610     ,               Special_op          67    
611     ch              Identifier          67    
612     ,               Special_op          67    
613     "               Special_op          67    
614     Open            Identifier          67    
615     _               Special_op          67    
616     bracket         Identifier          67    
617     "               Special_op          67    
618     ,               Special_op          67    
619     line            Identifier          67    
620     _               Special_op          67    
621     number          Identifier          67    
622     ,               Special_op          67    
623     out             Identifier          67    
624     )               Close_bracket       67    
625     ;               Semicolon           67    
626     }               Close_bracket       68    
627     else            Keyword             69    
628     if              Keyword             69    
629     (               Open_bracket        69    
630     ch              Identifier          69    
631     ==              Relational_op       69    
632     '               Special_op          69    
633     )               Close_bracket       69    
634     '               Special_op          69    
635     |               Special_op          69    
636     |               Special_op          69    
637     ch              Identifier          69    
638     ==              Relational_op       69    
639     '               Special_op          69    
640     }               Close_bracket       69    
641     '               Special_op          69    
642     |               Special_op          69    
643     |               Special_op          69    
644     ch              Identifier          69    
645     ==              Relational_op       69    
646     '               Special_op          69    
647     ]               Close_bracket       69    
648     '               Special_op          69    
649     )               Close_bracket       69    
650     {               Open_bracket        70    
651     display         Identifier          72    
652     _               Special_op          72    
653     lexemes         Identifier          72    
654     (               Open_bracket        72    
655     sl              Identifier          72    
656     _               Special_op          72    
657     number          Identifier          72    
658     ,               Special_op          72    
659     ch              Identifier          72    
660     ,               Special_op          72    
661     "               Special_op          72    
662     Close           Identifier          72    
663     _               Special_op          72    
664     bracket         Identifier          72    
665     "               Special_op          72    
666     ,               Special_op          72    
667     line            Identifier          72    
668     _               Special_op          72    
669     number          Identifier          72    
670     ,               Special_op          72    
671     out             Identifier          72    
672     )               Close_bracket       72    
673     ;               Semicolon           72    
674     }               Close_bracket       73    
675     else            Keyword             74    
676     if              Keyword             74    
677     (               Open_bracket        74    
678     ch              Identifier          74    
679     ==              Relational_op       74    
680     '               Special_op          74    
681     ;               Semicolon           74    
682     '               Special_op          74    
683     )               Close_bracket       74    
684     {               Open_bracket        75    
685     display         Identifier          76    
686     _               Special_op          76    
687     lexemes         Identifier          76    
688     (               Open_bracket        76    
689     sl              Identifier          76    
690     _               Special_op          76    
691     number          Identifier          76    
692     ,               Special_op          76    
693     ch              Identifier          76    
694     ,               Special_op          76    
695     "               Special_op          76    
696     Semicolon       Identifier          76    
697     "               Special_op          76    
698     ,               Special_op          76    
699     line            Identifier          76    
700     _               Special_op          76    
701     number          Identifier          76    
702     ,               Special_op          76    
703     out             Identifier          76    
704     )               Close_bracket       76    
705     ;               Semicolon           76    
706     }               Close_bracket       77    
707     else            Keyword             78    
708     if              Keyword             78    
709     (               Open_bracket        78    
710     ch              Identifier          78    
711     ==              Relational_op       78    
712     '               Special_op          78    
713     +               Arithmetic_op       78    
714     '               Special_op          78    
715     |               Special_op          78    
716     |               Special_op          78    
717     ch              Identifier          78    
718     ==              Relational_op       78    
719     '               Special_op          78    
720     -               Arithmetic_op       78    
721     '               Special_op          78    
722     |               Special_op          78    
723     |               Special_op          78    
724     ch              Identifier          78    
725     ==              Relational_op       78    
726     '               Special_op          78    
727     *               Arithmetic_op       78    
728     '               Special_op          78    
729     |               Special_op          78    
730     |               Special_op          78    
731     ch              Identifier          78    
732     ==              Relational_op       78    
733     '               Special_op          78    
734     /               Arithmetic_op       78    
735     '               Special_op          78    
736     )               Close_bracket       78    
737     {               Open_bracket        79    
738     display         Identifier          80    
739     _               Special_op          80    
740     lexemes         Identifier          80    
741     (               Open_bracket        80    
742     sl              Identifier          80    
743     _               Special_op          80    
744     number          Identifier          80    
745     ,               Special_op          80    
746     ch              Identifier          80    
747     ,               Special_op          80    
748     "               Special_op          80    
749     Arithmetic      Identifier          80    
750     _               Special_op          80    
751     op              Identifier          80    
752     "               Special_op          80    
753     ,               Special_op          80    
754     line            Identifier          80    
755     _               Special_op          80    
756     number          Identifier          80    
757     ,               Special_op          80    
758     out             Identifier          80    
759     )               Close_bracket       80    
760     ;               Semicolon           80    
761     }               Close_bracket       81    
762     else            Keyword             82    
763     if              Keyword             82    
764     (               Open_bracket        82    
765     ch              Identifier          82    
766     ==              Relational_op       82    
767     '               Special_op          82    
768     #               Special_op          82    
769     '               Special_op          82    
770     |               Special_op          82    
771     |               Special_op          82    
772     ch              Identifier          82    
773     ==              Relational_op       82    
774     '               Special_op          82    
775     .               Special_op          82    
776     '               Special_op          82    
777     |               Special_op          82    
778     |               Special_op          82    
779     ch              Identifier          82    
780     ==              Relational_op       82    
781     '               Special_op          82    
782     :               Special_op          82    
783     '               Special_op          82    
784     |               Special_op          82    
785     |               Special_op          82    
786     ch              Identifier          82    
787     ==              Relational_op       82    
788     '               Special_op          82    
789     ,               Special_op          82    
790     '               Special_op          82    
791     |               Special_op          82    
792     |               Special_op          82    
793     ch              Identifier          82    
794     ==              Relational_op       82    
795     '               Special_op          82    
796     _               Special_op          82    
797     '               Special_op          82    
798     |               Special_op          82    
799     |               Special_op          82    
800     ch              Identifier          82    
801     ==              Relational_op       82    
802     '               Special_op          82    
803     &               Special_op          82    
804     '               Special_op          82    
805     |               Special_op          82    
806     |               Special_op          82    
807     ch              Identifier          82    
808     ==              Relational_op       82    
809     '               Special_op          82    
810     \               Special_op          82    
811     "               Special_op          82    
812     '               Special_op          82    
813     |               Special_op          82    
814     |               Special_op          82    
815     ch              Identifier          82    
816     ==              Relational_op       82    
817     '               Special_op          82    
818     \               Special_op          82    
819     '               Special_op          82    
820     '               Special_op          82    
